name	hallmark	disease
CCT2	MYC_TARGETS_V1	Huntington_Disease Malignant_neoplasm_of_breast Breast_Carcinoma
SNRPD2	MYC_TARGETS_V1	
CCT4	MYC_TARGETS_V1	Sensory_Neuropathy,_Hereditary Sensory_neuropathy Malignant_neoplasm_of_breast Breast_Carcinoma Non-Small_Cell_Lung_Carcinoma
CCT7	MYC_TARGETS_V1	Colorectal_Carcinoma Myocardial_Infarction Dupuytren_Contracture Colorectal_Cancer
SNRPG	MYC_TARGETS_V1	
RPLP0	MYC_TARGETS_V1	Breast_Carcinoma Asthma Colorectal_Carcinoma Inflammatory_Bowel_Diseases leukemia Colorectal_Cancer Secondary_malignant_neoplasm_of_liver Colon_Carcinoma Malignant_neoplasm_of_breast Liver_carcinoma Non-Small_Cell_Lung_Carcinoma
SPI1	ALLOGRAFT_REJECTION	Pyogenic_Arthritis,_Pyoderma_Gangrenosum_and_Acne Friend_leukemia Lupus_Erythematosus,_Systemic Enterocolitis Leukemia,_Myelocytic,_Acute Tumor_Progression Diarrhea Acute_lymphocytic_leukemia Gastrointestinal_Diseases Myeloid_Leukemia,_Chronic Myeloid_Leukemia Salmonella_infections Childhood_Leukemia Precursor_T-Cell_Lymphoblastic_Leukemia-Lymphoma Nephroblastoma B-Cell_Lymphomas Acute_Erythroblastic_Leukemia Acute_erythroleukemia leukemia Gastroenteritis Sepsis
SNAP25	KRAS_SIGNALING_UP	Dermatitis,_Phototoxic Intellectual_Disability Acute_pancreatitis Alcoholic_Intoxication NEUROTICISM Ataxia_Telangiectasia Diabetes_Mellitus,_Non-Insulin-Dependent Childhood_Medulloblastoma Personality_Disorders Plaque,_Amyloid Antisocial_behavior Malignant_neoplasm_of_urinary_bladder Bipolar_Disorder Medulloblastoma Neuroblastoma Olivopontocerebellar_Atrophies Leukemia,_T-Cell Urothelial_Carcinoma Cognition_Disorders Mental_Retardation Impaired_cognition Common_acute_lymphoblastic_leukemia Overactive_bladder_syndrome Carcinoma,_Transitional_Cell Adenocarcinoma Congestive_heart_failure Abnormal_behavior Mental_disorders Alzheimer's_Disease Lymphoma Philadelphia_chromosome-positive_acute_lymphoblastic_leukemia Frontotemporal_Lobar_Degeneration Adult_Medulloblastoma Hunger Diabetes Unipolar_Depression Diabetes_Mellitus T-Cell_Lymphoma Amyotrophic_Lateral_Sclerosis Central_neuroblastoma HIV_Infections Classical_Hodgkin's_Lymphoma Coinfection Bladder_Neoplasm Precursor_Cell_Lymphoblastic_Leukemia_Lymphoma Autism_Spectrum_Disorders Hyperactive_behavior Rhabdoid_Tumor Small_cell_carcinoma_of_lung Huntington_Disease Hyperglycemia Niemann-Pick_Disease,_Type_C1 Congenital_chromosomal_disease Myoclonic_Epilepsies,_Progressive Liver_neoplasms ATRIAL_SEPTAL_DEFECT_1 Major_Depressive_Disorder Phototoxicity leukemia Schizophrenia Periodontal_Diseases Acute_lymphocytic_leukemia Acute_alcoholic_intoxication Attention_deficit_hyperactivity_disorder Gingival_Diseases Ataxias,_Hereditary Pancreatic_carcinoma Inattention TARSAL-CARPAL_COALITION_SYNDROME Frontotemporal_dementia Carcinoma_of_bladder Ataxia Adult_T-Cell_Lymphoma/Leukemia Unverricht-Lundborg_Syndrome Myeloid_Leukemia,_Chronic Autistic_Disorder Antisocial_Personality_Disorder Rat_Adrenal_Gland_Pheochromocytoma Amyloidosis Hodgkin_Disease Oppositional_Defiant_Disorder Atrial_Septal_Defects Liver_carcinoma nervous_system_disorder Congenital_ocular_coloboma_(disorder)
RPS3	MYC_TARGETS_V1	melanoma Malignant_neoplasm_of_breast Breast_Carcinoma Osteosarcoma Werner_Syndrome Osteosarcoma_of_bone Squamous_cell_carcinoma Secondary_malignant_neoplasm_of_lung Adenocarcinoma Transient_ischemia Oedema_auricular
CCT5	MYC_TARGETS_V1	Pain Colorectal_Cancer Sensory_neuropathy Widespread_Chronic_Pain Inflammatory_pain Sensory_Neuropathy,_Hereditary Colorectal_Carcinoma Spastic_Paraplegia
SNCB	KRAS_SIGNALING_DN	Ductal_Carcinoma Schizophrenia Lafora_Disease Neurodegenerative_Disorders Amyloidosis Presenile_dementia Encephalomyelitis oligodendroglioma Dementia Alzheimer's_Disease Parkinson_Disease Neuroblastoma Lewy_Body_Disease Well_Differentiated_Oligodendroglioma Sandhoff_Disease Central_neuroblastoma
HNRNPR	MYC_TARGETS_V1	Spinal_Muscular_Atrophy
HNRNPA1	MYC_TARGETS_V1	Crohn_Disease leukemia Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Brain_Neoplasms Osteitis_Deformans Steatohepatitis Frontotemporal_dementia Colon_Carcinoma Alzheimer's_Disease Autoimmune_Diseases Prostatic_Neoplasms Colorectal_Cancer Primary_malignant_neoplasm Myeloid_Leukemia,_Chronic GRN-related_frontotemporal_dementia Glioma Carcinogenesis Tropical_Spastic_Paraparesis Urinary_Bladder_Inflammatory_Myofibroblastic_Tumor Neuroblastoma Pancreatic_carcinoma Glioblastoma Frontotemporal_Lobar_Degeneration Stomach_Carcinoma Spinal_Muscular_Atrophy Hepatitis_A Liver_carcinoma Pick_Disease_of_the_Brain Multiple_Sclerosis Malignant_neoplasm_of_prostate Recurrent_tumor Fibrosis,_Liver Amyotrophic_Lateral_Sclerosis Acute_leukemia Myotonic_Dystrophy Malignant_transformation Malignant_neoplasm_of_stomach Non-Small_Cell_Lung_Carcinoma Myopathy Multiple_Myeloma Malignant_neoplasm_of_pancreas Colorectal_Carcinoma Breast_Carcinoma Prostate_carcinoma Neurodegenerative_Disorders Inflammatory_Myofibroblastic_Tumor Tumor_Progression Malignant_neoplasm_of_breast AMYOTROPHIC_LATERAL_SCLEROSIS_1 Hepatitis Well_Differentiated_Oligodendroglioma Leukemogenesis Central_neuroblastoma Conventional_(Clear_Cell)_Renal_Cell_Carcinoma Malignant_neoplasm_of_liver Fatty_Liver Malignant_tumor_of_colon Malignant_Neoplasms oligodendroglioma Acute_Erythroblastic_Leukemia
RPS3A	ALLOGRAFT_REJECTION	Carcinogenesis Alzheimer's_Disease Liver_carcinoma Alzheimer_Disease,_Late_Onset
PSMA6	MYC_TARGETS_V1	Juvenile_arthritis Diabetes Diabetes_Mellitus Multiple_Myeloma Carcinoma_of_lung Arteriosclerosis Ischemic_stroke Coronary_Arteriosclerosis Burkitt_Lymphoma Osteosarcoma Autoimmune_Diseases Myocardial_Infarction Osteosarcoma_of_bone Diabetes_Mellitus,_Non-Insulin-Dependent Coronary_Stenosis Diabetes_Mellitus,_Insulin-Dependent Primary_malignant_neoplasm_of_lung Oligoarticular_Arthritis Atherosclerosis Cerebrovascular_accident Malignant_neoplasm_of_lung Polyarthritis
HNRNPA2B1	MYC_TARGETS_V1	Hepatitis Myeloid_Leukemia,_Chronic Malignant_neoplasm_of_liver Malignant_neoplasm_of_lung Stomach_Carcinoma Liver_carcinoma Malignant_neoplasm_of_pancreas Glioblastoma Behcet_Syndrome Lung_diseases Lung_Neoplasms Carcinoma_of_lung Prostate_carcinoma Familial_(FPAH) Muscular_Dystrophies,_Limb-Girdle Tumor_Progression Malignant_neoplasm_of_prostate Myopathy Neoplasm_Metastasis Primary_malignant_neoplasm_of_lung Malignant_neoplasm_of_stomach Amyotrophic_Lateral_Sclerosis Malignant_Neoplasms Neurodegenerative_Disorders Gastric_Adenocarcinoma Primary_malignant_neoplasm Breast_Carcinoma Pancreatic_Ductal_Adenocarcinoma Pancreatic_carcinoma Prostatic_Neoplasms Thymoma Non-Small_Cell_Lung_Carcinoma NONAKA_MYOPATHY Influenza Malignant_neoplasm_of_breast Anaplasia Osteitis_Deformans Carcinogenesis Hepatitis_A Conventional_(Clear_Cell)_Renal_Cell_Carcinoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma
RPL6	MYC_TARGETS_V1	Stomach_Carcinoma Malignant_neoplasm_of_stomach Penis_carcinoma
PSMA1	MYC_TARGETS_V1	High-Grade_Squamous_Intraepithelial_Lesions Cervical_Intraepithelial_Neoplasia Cervix_carcinoma MYELODYSPLASTIC_SYNDROME Squamous_intraepithelial_lesion Low_Grade_Squamous_Intraepithelial_Neoplasia Cervical_intraepithelial_neoplasia_grade_2 Hepatitis_B Breast_Carcinoma Malignant_neoplasm_of_breast Coinfection
ERH	MYC_TARGETS_V1	Colorectal_Cancer Colorectal_Carcinoma Liver_carcinoma
