name	hallmark	disease
PSMA7	MYC_TARGETS_V1	Chronic_myeloproliferative_disorder Adenocarcinoma_of_lung_(disorder) Abnormal_behavior Virus_Diseases Major_Depressive_Disorder Myeloproliferative_disease leukemia Prostatic_Neoplasms Mental_disorders
PSMA6	MYC_TARGETS_V1	Juvenile_arthritis Diabetes Diabetes_Mellitus Multiple_Myeloma Carcinoma_of_lung Arteriosclerosis Ischemic_stroke Coronary_Arteriosclerosis Burkitt_Lymphoma Osteosarcoma Autoimmune_Diseases Myocardial_Infarction Osteosarcoma_of_bone Diabetes_Mellitus,_Non-Insulin-Dependent Coronary_Stenosis Diabetes_Mellitus,_Insulin-Dependent Primary_malignant_neoplasm_of_lung Oligoarticular_Arthritis Atherosclerosis Cerebrovascular_accident Malignant_neoplasm_of_lung Polyarthritis
CCT5	MYC_TARGETS_V1	Pain Colorectal_Cancer Sensory_neuropathy Widespread_Chronic_Pain Inflammatory_pain Sensory_Neuropathy,_Hereditary Colorectal_Carcinoma Spastic_Paraplegia
PDHX	OXIDATIVE_PHOSPHORYLATION	Primary_biliary_cirrhosis Malignant_neoplasm_of_pancreas Severe_Combined_Immunodeficiency Maturity_onset_diabetes_mellitus_in_young Pancreatitis,_Chronic Nesidioblastosis Lupus_Erythematosus,_Systemic Diabetes_Mellitus,_Non-Insulin-Dependent Hyperglycemia Diabetes Carcinogenesis Pancreatic_Neoplasm Encephalopathies Agenesis Pancreatic_carcinoma Adenocarcinoma_of_large_intestine Malignant_neoplasm_of_kidney Patent_ductus_arteriosus Overweight_or_obesity Diabetes_Mellitus B-Cell_Lymphomas Pancreatic_intraepithelial_neoplasia Acidosis,_Lactic Pancreatic_Ductal_Adenocarcinoma insulinoma Neoplasm_Metastasis Congenital_lactic_acidosis Leigh_Disease Brain_Diseases Epithelial_ovarian_cancer Global_developmental_delay Intraepithelial_Neoplasia MATURITY-ONSET_DIABETES_OF_THE_YOUNG,_TYPE_IV_(disorder) Pyruvate_Dehydrogenase_Complex_Deficiency_Disease Adenocarcinoma_of_pancreas Colorectal_Carcinoma Colorectal_Neoplasms Developmental_delay_(disorder) Colorectal_Cancer
CBR4	KRAS_SIGNALING_UP	
RPL9	ALLOGRAFT_REJECTION	Sepsis Spinal_Muscular_Atrophy Septicemia
ACADSB	OXIDATIVE_PHOSPHORYLATION	Hypertensive_disease Essential_Hypertension Diabetes_Mellitus Malignant_neoplasm_of_breast Hyperlipidemia Breast_Carcinoma 2-methylbutyrylglycinuria
EIF2S3	UV_RESPONSE_UP	Diabetes_Mellitus Alzheimer's_Disease Multiple_Myeloma Virus_Diseases liposarcoma Liver_and_Intrahepatic_Biliary_Tract_Carcinoma Malignant_neoplasm_of_liver Intellectual_Disability Squamous_cell_carcinoma Microcephaly Childhood_Ataxia_with_Central_Nervous_System_Hypomyelinization Non-Small_Cell_Lung_Carcinoma Hepatitis_C Leukoencephalopathies nervous_system_disorder Diabetes Spastic_syndrome Dystrophia_myotonica_2 Carcinogenesis Wolcott-Rallison_syndrome
CCT4	MYC_TARGETS_V1	Sensory_Neuropathy,_Hereditary Sensory_neuropathy Malignant_neoplasm_of_breast Breast_Carcinoma Non-Small_Cell_Lung_Carcinoma
CCT3	MYC_TARGETS_V1	Muscle_degeneration Colorectal_Carcinoma Colorectal_Cancer Eosinophilic_myositis_(disorder) Rheumatoid_Arthritis Myotonic_Dystrophy Dystrophia_myotonica_2 FRIEDREICH_ATAXIA_1 Liver_carcinoma Micrognathism Medullary_cystic_kidney_disease_1
