name	color	hallmark	disease
PSMA5			Astrocytoma Glioma Homozygous_alpha_thalassemia Neoplasm_Metastasis Well_Differentiated_Oligodendroglioma oligodendroglioma alpha^+^_Thalassemia Hemoglobin_H_Disease Acute_lymphocytic_leukemia Lupus_Erythematosus,_Systemic beta^+^_Thalassemia alpha-Thalassemia Prostate_carcinoma Glioblastoma alpha^0^_Thalassemia beta_Thalassemia Sickle_Cell_Trait Thalassemia Malignant_neoplasm_of_prostate
PSMA7	MYC_TARGETS_V1	MYC_TARGETS_V1	Chronic_myeloproliferative_disorder Adenocarcinoma_of_lung_(disorder) Abnormal_behavior Virus_Diseases Major_Depressive_Disorder Myeloproliferative_disease leukemia Prostatic_Neoplasms Mental_disorders
RPL26L1			
PSMA8			
RPL26			Virus_Diseases Pancreatic_carcinoma Malignant_neoplasm_of_pancreas Anemia,_Diamond-Blackfan Cytomegalovirus_Infections
PSMA6	MYC_TARGETS_V1	MYC_TARGETS_V1	Juvenile_arthritis Diabetes Diabetes_Mellitus Multiple_Myeloma Carcinoma_of_lung Arteriosclerosis Ischemic_stroke Coronary_Arteriosclerosis Burkitt_Lymphoma Osteosarcoma Autoimmune_Diseases Myocardial_Infarction Osteosarcoma_of_bone Diabetes_Mellitus,_Non-Insulin-Dependent Coronary_Stenosis Diabetes_Mellitus,_Insulin-Dependent Primary_malignant_neoplasm_of_lung Oligoarticular_Arthritis Atherosclerosis Cerebrovascular_accident Malignant_neoplasm_of_lung Polyarthritis
RPL9	ALLOGRAFT_REJECTION	ALLOGRAFT_REJECTION	Sepsis Spinal_Muscular_Atrophy Septicemia
SEC61A2			
SEC61A1		DNA_REPAIR P53_PATHWAY	Diabetes_Mellitus Diabetes
PSMA3		INTERFERON_ALPHA_RESPONSE INTERFERON_GAMMA_RESPONSE MTORC1_SIGNALING	Hepatitis_B Diabetes_Mellitus,_Insulin-Dependent
